Results:
1 Decimal: 7116776, Binary: 0000011011001001011111101000, Hexadecimal: 06C97E8
2 Decimal: 1666340, Binary: 0000000110010110110100100100, Hexadecimal: 0196D24
3 Decimal: 8886983, Binary: 0000100001111001101011000111, Hexadecimal: 0879AC7
4 Decimal: 839365, Binary: 0000000011001100111011000101, Hexadecimal: 00CCEC5
5 Decimal: 924280, Binary: 0000000011100001101001111000, Hexadecimal: 00E1A78
6 Decimal: 1026310, Binary: 0000000011111010100100000110, Hexadecimal: 00FA906
7 Decimal: 1615293, Binary: 0000000110001010010110111101, Hexadecimal: 018A5BD
8 Decimal: 1063875, Binary: 0000000100000011101111000011, Hexadecimal: 0103BC3
9 Decimal: 679035, Binary: 0000000010100101110001111011, Hexadecimal: 00A5C7B
10 Decimal: 5201970, Binary: 0000010011110110000000110010, Hexadecimal: 04F6032
11 Decimal: 593979, Binary: 0000000010010001000000111011, Hexadecimal: 009103B
12 Decimal: 801371, Binary: 0000000011000011101001011011, Hexadecimal: 00C3A5B
13 Decimal: 3796878, Binary: 0000001110011110111110001110, Hexadecimal: 039EF8E
14 Decimal: 7489201, Binary: 0000011100100100011010110001, Hexadecimal: 07246B1
15 Decimal: 9740020, Binary: 0000100101001001111011110100, Hexadecimal: 0949EF4
16 Decimal: 9128737, Binary: 0000100010110100101100100001, Hexadecimal: 08B4B21
17 Decimal: 5473463, Binary: 0000010100111000010010110111, Hexadecimal: 05384B7
18 Decimal: 8701957, Binary: 0000100001001100100000000101, Hexadecimal: 084C805
19 Decimal: 8238050, Binary: 0000011111011011001111100010, Hexadecimal: 07DB3E2
20 Decimal: 8679038, Binary: 0000100001000110111001111110, Hexadecimal: 0846E7E
21 Decimal: 385912, Binary: 0000000001011110001101111000, Hexadecimal: 005E378
22 Decimal: 5867340, Binary: 0000010110011000011101001100, Hexadecimal: 059874C
23 Decimal: 4894542, Binary: 0000010010101010111101001110, Hexadecimal: 04AAF4E
24 Decimal: 8999451, Binary: 0000100010010101001000011011, Hexadecimal: 089521B
25 Decimal: 4392535, Binary: 0000010000110000011001010111, Hexadecimal: 0430657
26 Decimal: 2078131, Binary: 0000000111111011010110110011, Hexadecimal: 01FB5B3
27 Decimal: 3070124, Binary: 0000001011101101100010101100, Hexadecimal: 02ED8AC
28 Decimal: 7451998, Binary: 0000011100011011010101011110, Hexadecimal: 071B55E
29 Decimal: 5635510, Binary: 0000010101011111110110110110, Hexadecimal: 055FDB6
30 Decimal: 1233932, Binary: 0000000100101101010000001100, Hexadecimal: 012D40C
31 Decimal: 6089867, Binary: 0000010111001110110010001011, Hexadecimal: 05CEC8B
32 Decimal: 1792316, Binary: 0000000110110101100100111100, Hexadecimal: 01B593C
33 Decimal: 6298637, Binary: 0000011000000001110000001101, Hexadecimal: 0601C0D
34 Decimal: 2408038, Binary: 0000001001001011111001100110, Hexadecimal: 024BE66
35 Decimal: 8510100, Binary: 0000100000011101101010010100, Hexadecimal: 081DA94
36 Decimal: 991581, Binary: 0000000011110010000101011101, Hexadecimal: 00F215D
37 Decimal: 6455739, Binary: 0000011000101000000110111011, Hexadecimal: 06281BB
38 Decimal: 7829175, Binary: 0000011101110111011010110111, Hexadecimal: 07776B7
39 Decimal: 6328931, Binary: 0000011000001001001001100011, Hexadecimal: 0609263
40 Decimal: 9982305, Binary: 0000100110000101000101100001, Hexadecimal: 0985161
